date	open	high	low	close	adjusted_close	volume	dividend_amount	split_coefficient
06-01-20	157.08	159.1	156.51	159.03	159.03	19214320	0	1
03-01-20	158.32	159.945	158.06	158.62	158.62	21121681	0	1
02-01-20	158.78	160.73	158.33	160.62	160.62	22634546	0	1
31-12-19	156.77	157.77	156.45	157.7	157.7	18393383	0	1
30-12-19	158.9865	159.02	156.73	157.59	157.59	16356720	0	1
27-12-19	159.45	159.55	158.22	158.96	158.96	18414352	0	1
26-12-19	157.5511	158.73	157.4	158.67	158.67	14526927	0	1
24-12-19	157.48	157.71	157.115	157.38	157.38	8989150	0	1
23-12-19	158.12	158.12	157.27	157.41	157.41	17726283	0	1
20-12-19	157.35	158.49	156.29	157.41	157.41	53599613	0	1
19-12-19	154	155.77	153.75	155.71	155.71	25813825	0	1
18-12-19	154.3	155.48	154.18	154.37	154.37	24132379	0	1
17-12-19	155.45	155.71	154.45	154.69	154.69	25443527	0	1
16-12-19	155.11	155.9	154.82	155.53	155.53	24152770	0	1
13-12-19	153.1106	154.89	152.83	154.53	154.53	23850062	0	1
12-12-19	151.65	153.44	151.02	153.24	153.24	24645366	0	1
11-12-19	151.54	151.87	150.33	151.7	151.7	18860001	0	1
10-12-19	151.29	151.89	150.765	151.13	151.13	16481060	0	1
09-12-19	151.07	152.21	150.91	151.36	151.36	16741350	0	1
06-12-19	150.99	151.87	150.27	151.75	151.75	16410400	0	1
05-12-19	150.05	150.32	149.48	149.93	149.93	17880601	0	1
04-12-19	150.14	150.1799	149.2	149.85	149.85	17580617	0	1
03-12-19	147.49	149.43	146.65	149.31	149.31	25192145	0	1
02-12-19	151.81	151.83	148.32	149.55	149.55	27473616	0	1
29-11-19	152.1	152.3	151.28	151.38	151.38	11977300	0	1
27-11-19	152.33	152.5	151.52	152.32	152.32	15201293	0	1
26-11-19	151.36	152.42	151.32	152.03	152.03	24635100	0	1
25-11-19	150	151.35	149.92	151.23	151.23	22428585	0	1
22-11-19	150.07	150.3	148.82	149.59	149.59	15841680	0	1
21-11-19	149.4	149.8	148.501	149.48	149.48	18576083	0	1
20-11-19	150.31	150.84	148.46	149.62	149.62	25720060	0.51	1
19-11-19	150.88	151.33	150.195	150.39	149.8791	23960164	0	1
18-11-19	150.07	150.55	148.98	150.34	149.8293	21554762	0	1
15-11-19	148.93	149.99	148.27	149.97	149.4605	23508807	0	1
14-11-19	147.02	148.41	147	148.06	147.557	19755100	0	1
13-11-19	146.74	147.4625	146.28	147.31	146.8096	17444230	0	1
12-11-19	146.28	147.57	146.06	147.07	146.5704	18648712	0	1
11-11-19	145.34	146.42	144.73	146.11	145.6137	14370178	0	1
08-11-19	143.98	145.99	143.76	145.96	145.4642	16752939	0	1
07-11-19	143.84	144.88	143.77	144.26	143.7699	17786715	0	1
06-11-19	144.37	144.52	143.2	144.06	143.5706	16575798	0	1
05-11-19	144.97	145.02	143.905	144.46	143.9693	18250172	0	1
04-11-19	144.83	145	144.16	144.55	144.059	16911999	0	1
01-11-19	144.26	144.42	142.965	143.72	143.2318	33128366	0	1
31-10-19	144.9	144.93	142.99	143.37	142.883	24605135	0	1
30-10-19	143.52	145	142.79	144.61	144.1188	18496591	0	1
29-10-19	144.08	144.5	142.65	142.83	142.3448	20589469	0	1
28-10-19	144.4	145.67	143.51	144.19	143.7002	34912902	0	1
25-10-19	139.34	141.14	139.2	140.73	140.2519	25959724	0	1
24-10-19	139.39	140.42	138.67	139.94	139.4646	37278399	0	1
23-10-19	136.88	137.45	135.61	137.24	136.7738	31380309	0	1
22-10-19	138.97	140.01	136.26	136.37	135.9067	27935270	0	1
21-10-19	138.45	138.5	137.01	138.43	137.9597	20078066	0	1
18-10-19	139.76	140	136.56	137.41	136.9432	30650850	0	1
17-10-19	140.95	141.42	139.02	139.69	139.2155	22102797	0	1
16-10-19	140.79	140.99	139.53	140.41	139.933	20841687	0	1
15-10-19	140.06	141.79	139.81	141.575	141.0941	19917762	0	1
14-10-19	139.69	140.29	139.52	139.55	139.0759	13591639	0	1
11-10-19	140.12	141.03	139.5	139.68	139.2055	25551065	0	1
10-10-19	138.49	139.6699	138.25	139.1	138.6275	18396605	0	1
09-10-19	137.46	138.7	136.97	138.24	137.7704	20178482	0	1
08-10-19	137.08	137.76	135.62	135.67	135.2091	26783336	0	1
07-10-19	137.14	138.18	137.02	137.12	136.6542	16601284	0	1
04-10-19	136.75	138.25	136.42	138.12	137.6508	23839548	0	1
03-10-19	134.95	136.75	133.22	136.28	135.817	26379798	0	1
02-10-19	136.25	136.37	133.5799	134.65	134.1926	32001763	0	1
01-10-19	139.66	140.25	137	137.07	136.6044	22581929	0	1
30-09-19	138.05	139.215	137.78	139.03	138.5577	18430390	0	1
27-09-19	140.15	140.36	136.645	137.73	137.2621	22498958	0	1
26-09-19	139.44	140.18	138.44	139.54	139.066	17813512	0	1
25-09-19	137.5	139.958	136.03	139.36	138.8866	22544054	0	1
24-09-19	140.36	140.69	136.88	137.38	136.9133	30016670	0	1
23-09-19	139.23	139.63	138.44	139.14	138.6673	17408374	0	1
20-09-19	141.01	141.65	138.25	139.44	138.9663	40040766	0	1
19-09-19	140.3	142.37	140.0736	141.07	140.5908	36095413	0	1
18-09-19	137.36	138.67	136.5299	138.52	138.0494	24473386	0	1
17-09-19	136.96	137.52	136.425	137.39	136.9233	17976285	0	1
16-09-19	135.83	136.7	135.66	136.33	135.8669	16731440	0	1
13-09-19	137.78	138.06	136.57	137.32	136.8535	23363057	0	1
12-09-19	137.85	138.42	136.87	137.52	137.0528	27009981	0	1
11-09-19	135.91	136.27	135.09	136.12	135.6576	24726117	0	1
10-09-19	136.8	136.8862	134.51	136.08	135.6177	28903378	0	1
09-09-19	139.59	139.75	136.46	137.52	137.0528	25773932	0	1
06-09-19	140.03	140.18	138.2	139.1	138.6275	20824504	0	1
05-09-19	139.11	140.3837	138.76	140.05	139.5742	26119520	0	1
04-09-19	137.3	137.69	136.48	137.63	137.1625	18015310	0	1
03-09-19	136.61	137.2	135.7	136.04	135.5779	18880773	0	1
30-08-19	139.15	139.18	136.27	137.86	137.3917	23946123	0	1
29-08-19	137.25	138.44	136.91	138.12	137.6508	20179716	0	1
28-08-19	134.88	135.76	133.55	135.56	135.0995	17343042	0	1
27-08-19	136.39	136.72	134.66	135.74	135.2789	23115635	0	1
26-08-19	134.99	135.56	133.9	135.45	134.9899	20325271	0	1
23-08-19	137.1897	138.35	132.8	133.39	132.9369	38515386	0	1
22-08-19	138.66	139.2	136.29	137.78	137.312	18709662	0	1
21-08-19	138.55	139.4935	138	138.79	138.3185	14982314	0	1
20-08-19	138.21	138.71	137.24	137.26	136.7937	21188998	0	1
19-08-19	137.855	138.55	136.885	138.41	137.9398	24370543	0	1
16-08-19	134.88	136.46	134.72	136.13	135.6676	25026151	0	1
15-08-19	134.39	134.58	132.25	133.68	133.2259	28125416	0	1
14-08-19	136.36	136.92	133.67	133.98	133.5249	32527251	0.46	1
